movieId_,title,genres,movie_description
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,Hello World!
2,Jumanji (1995),Adventure|Children|Fantasy,Hello World!
3,Grumpier Old Men (1995),Comedy|Romance,Hello World!
4,Waiting to Exhale (1995),Comedy|Drama|Romance,Hello World!
5,Father of the Bride Part II (1995),Comedy,Hello World!
6,Heat (1995),Action|Crime|Thriller,Hello World!
7,Sabrina (1995),Comedy|Romance,Hello World!
8,Tom and Huck (1995),Adventure|Children,Hello World!
9,Sudden Death (1995),Action,Hello World!
10,GoldenEye (1995),Action|Adventure|Thriller,Hello World!
11,"American President, The (1995)",Comedy|Drama|Romance,Hello World!
12,Dracula: Dead and Loving It (1995),Comedy|Horror,Hello World!
13,Balto (1995),Adventure|Animation|Children,Hello World!
14,Nixon (1995),Drama,Hello World!
15,Cutthroat Island (1995),Action|Adventure|Romance,Hello World!
16,Casino (1995),Crime|Drama,Hello World!
17,Sense and Sensibility (1995),Drama|Romance,Hello World!
18,Four Rooms (1995),Comedy,Hello World!
19,Ace Ventura: When Nature Calls (1995),Comedy,Hello World!
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,Hello World!
21,Get Shorty (1995),Comedy|Crime|Thriller,Hello World!
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Hello World!
23,Assassins (1995),Action|Crime|Thriller,Hello World!
24,Powder (1995),Drama|Sci-Fi,Hello World!
25,Leaving Las Vegas (1995),Drama|Romance,Hello World!
26,Othello (1995),Drama,Hello World!
27,Now and Then (1995),Children|Drama,Hello World!
28,Persuasion (1995),Drama|Romance,Hello World!
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,Hello World!
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,Hello World!
31,Dangerous Minds (1995),Drama,Hello World!
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,Hello World!
34,Babe (1995),Children|Drama,Hello World!
36,Dead Man Walking (1995),Crime|Drama,Hello World!
38,It Takes Two (1995),Children|Comedy,Hello World!
39,Clueless (1995),Comedy|Romance,Hello World!
40,"Cry, the Beloved Country (1995)",Drama,Hello World!
41,Richard III (1995),Drama|War,Hello World!
42,Dead Presidents (1995),Action|Crime|Drama,Hello World!
43,Restoration (1995),Drama,Hello World!
44,Mortal Kombat (1995),Action|Adventure|Fantasy,Hello World!
45,To Die For (1995),Comedy|Drama|Thriller,Hello World!
46,How to Make an American Quilt (1995),Drama|Romance,Hello World!
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,Hello World!
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,Hello World!
49,When Night Is Falling (1995),Drama|Romance,Hello World!
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,Hello World!
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,Hello World!
53,Lamerica (1994),Adventure|Drama,Hello World!
54,"Big Green, The (1995)",Children|Comedy,Hello World!
55,Georgia (1995),Drama,Hello World!
57,Home for the Holidays (1995),Drama,Hello World!
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,Hello World!
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,Hello World!
61,Eye for an Eye (1996),Drama|Thriller,Hello World!
62,Mr. Holland's Opus (1995),Drama,Hello World!
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,Hello World!
64,Two if by Sea (1996),Comedy|Romance,Hello World!
65,Bio-Dome (1996),Comedy,Hello World!
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,Hello World!
68,French Twist (Gazon maudit) (1995),Comedy|Romance,Hello World!
69,Friday (1995),Comedy,Hello World!
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,Hello World!
71,Fair Game (1995),Action,Hello World!
72,Kicking and Screaming (1995),Comedy|Drama,Hello World!
73,"Misérables, Les (1995)",Drama|War,Hello World!
74,Bed of Roses (1996),Drama|Romance,Hello World!
75,Big Bully (1996),Comedy|Drama,Hello World!
76,Screamers (1995),Action|Sci-Fi|Thriller,Hello World!
77,Nico Icon (1995),Documentary,Hello World!
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,Hello World!
79,"Juror, The (1996)",Drama|Thriller,Hello World!
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,Hello World!
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,Hello World!
82,Antonia's Line (Antonia) (1995),Comedy|Drama,Hello World!
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,Hello World!
85,Angels and Insects (1995),Drama|Romance,Hello World!
86,White Squall (1996),Action|Adventure|Drama,Hello World!
87,Dunston Checks In (1996),Children|Comedy,Hello World!
88,Black Sheep (1996),Comedy,Hello World!
89,Nick of Time (1995),Action|Thriller,Hello World!
92,Mary Reilly (1996),Drama|Horror|Thriller,Hello World!
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,Hello World!
94,Beautiful Girls (1996),Comedy|Drama|Romance,Hello World!
95,Broken Arrow (1996),Action|Adventure|Thriller,Hello World!
96,In the Bleak Midwinter (1995),Comedy|Drama,Hello World!
97,"Hate (Haine, La) (1995)",Crime|Drama,Hello World!
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,Hello World!
100,City Hall (1996),Drama|Thriller,Hello World!
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,Hello World!
102,Mr. Wrong (1996),Comedy,Hello World!
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,Hello World!
104,Happy Gilmore (1996),Comedy,Hello World!
105,"Bridges of Madison County, The (1995)",Drama|Romance,Hello World!
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,Hello World!
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,Hello World!
108,Catwalk (1996),Documentary,Hello World!
110,Braveheart (1995),Action|Drama|War,Hello World!
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,Hello World!
113,Before and After (1996),Drama|Mystery,Hello World!
116,Anne Frank Remembered (1995),Documentary,Hello World!
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,Hello World!
118,If Lucy Fell (1996),Comedy|Romance,Hello World!
119,"Steal Big, Steal Little (1995)",Comedy,Hello World!
121,"Boys of St. Vincent, The (1992)",Drama,Hello World!
122,Boomerang (1992),Comedy|Romance,Hello World!
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,Hello World!
125,Flirting With Disaster (1996),Comedy,Hello World!
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,Hello World!
128,Jupiter's Wife (1994),Documentary,Hello World!
129,Pie in the Sky (1996),Comedy|Romance,Hello World!
132,Jade (1995),Thriller,Hello World!
135,Down Periscope (1996),Comedy,Hello World!
137,Man of the Year (1995),Documentary,Hello World!
140,Up Close and Personal (1996),Drama|Romance,Hello World!
141,"Birdcage, The (1996)",Comedy,Hello World!
144,"Brothers McMullen, The (1995)",Comedy,Hello World!
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,Hello World!
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,Hello World!
147,"Basketball Diaries, The (1995)",Drama,Hello World!
148,"Awfully Big Adventure, An (1995)",Drama,Hello World!
149,Amateur (1994),Crime|Drama|Thriller,Hello World!
150,Apollo 13 (1995),Adventure|Drama|IMAX,Hello World!
151,Rob Roy (1995),Action|Drama|Romance|War,Hello World!
152,"Addiction, The (1995)",Drama|Horror,Hello World!
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,Hello World!
155,Beyond Rangoon (1995),Adventure|Drama|War,Hello World!
156,Blue in the Face (1995),Comedy|Drama,Hello World!
157,Canadian Bacon (1995),Comedy|War,Hello World!
158,Casper (1995),Adventure|Children,Hello World!
159,Clockers (1995),Crime|Drama|Mystery,Hello World!
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,Hello World!
161,Crimson Tide (1995),Drama|Thriller|War,Hello World!
162,Crumb (1994),Documentary,Hello World!
163,Desperado (1995),Action|Romance|Western,Hello World!
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,Hello World!
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,Hello World!
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,Hello World!
168,First Knight (1995),Action|Drama|Romance,Hello World!
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,Hello World!
170,Hackers (1995),Action|Adventure|Crime|Thriller,Hello World!
171,Jeffrey (1995),Comedy|Drama,Hello World!
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,Hello World!
173,Judge Dredd (1995),Action|Crime|Sci-Fi,Hello World!
174,Jury Duty (1995),Comedy,Hello World!
175,Kids (1995),Drama,Hello World!
176,Living in Oblivion (1995),Comedy,Hello World!
177,Lord of Illusions (1995),Horror,Hello World!
178,Love & Human Remains (1993),Comedy|Drama,Hello World!
179,Mad Love (1995),Drama|Romance,Hello World!
180,Mallrats (1995),Comedy|Romance,Hello World!
